subject,hours,credits
Advanced Topics in Literature &amp; Cultural Studies,34,6
Zoological Medicine Seminar,47,4
Criminal Law,66,6
Engineering Design Optimization,54,4
Intellectual Property Topics,75,6
Advanced Jazz Guitar,56,5
Intermediate Ballet Tech Elect,75,6
Integer Programming,55,5
International Planning Studio,36,6
English Pronunciation &amp; Oral Fluency,60,4
Health Policy: United States,73,5
CIC Traveling Scholar,44,6
Off Campus Internship,34,4
Health Disparities in the U.S.,58,4
Internal Medicine Sub-Internship,63,5
Administration &amp; Management of Libraries and Information Centers,30,4
Dementia Care for Older Adults,34,4
History of the English Language,41,5
Social Computing,47,4
Evidence,83,6
Doctoral Urban Planning Seminar,49,6
Data Science Foundations,56,5
Jazz Keyboard Studies II,88,6
Senior Art-History Honors-BFA,35,6
Advanced Symbolic Logic,33,4
Intro to Political Theory,79,6
Literature Seminar,29,4
Special Topics Port &amp; Braz Lit,50,5
Advanced Media/Cinema Topics,30,4
Intro Asian American Theatre,56,5
Colon and Rectal Surgery,68,5
Meat Science,61,4
Personal Financial Planning,43,4
Global Perspectives in Cross-Cultural Contexts,49,4
Politics of the National Parks,43,6
Advertising Management Plan,30,5
Graduate Jazz Voice,69,6
Intro to Human Development,37,6
Musicianship IV,58,4
Senior Art-History Honors-BA,53,5
Mechanics for MatSE,61,4
Democratization,45,5
Jazz Improv:Theory and Prac II,46,6
Policy Practice and Advocacy,60,6
Measure &amp; Eval in Kinesiology,55,6
Food Product Development,49,5
Lactation Biology,66,5
Momentum and Heat Transfer,34,4
Black Women Contemp US Society,35,4
"Event Management in Recreation, Sport and Tourism",35,5
Grain Bioprocessing Coproducts,83,6
Accounting and Accountancy II,30,5
Companion Animal Policy,39,4
Advanced CAD Drafting for Lighting Designers,84,6
Advanced Choral Conducting II,36,6
Fundamentals for Speech Signal Processing and Analysis,80,6
Professional Practice,36,4
Structures for the Stage II,35,6
Vet Diagnostic Path 1,34,4
The Modern American City,83,6
Intro to Korea Through Film,78,6
"Art, Power and Culture in 17th-Century Europe",33,4
Women in Muslim Societies,76,6
Word and Image in Chinese Art,34,4
Basic Photography,37,5
"Child, Comm, &amp; Lang Ability",56,4
Investment Banking,29,4
Advanced Clinical Nutrition,58,4
Tunneling in Soil and Rock,53,6
Cooperative Education Practice,29,4
Comm Competence and Disorders,62,4
"Facility Management in Recreation, Sport and Tourism",54,4
Honors Seminar,55,6
Hematology/Oncology,77,6
Latin America Cultural Studies II,47,6
Intro Sustainable Food Systems,75,6
Poetry Workshop I,46,4
Firm Performance and HR,61,5
Andean Ethnography,63,5
General Chemistry Lab I,36,5
Introductory Chemistry,47,5
Architectural Design and Making,69,6
Macroeconomic Principles,52,6
Economics of Stock Market Fundamentals,48,5
Intro to Language Science,46,4
History of Human Evolution,62,4
Leading Student Organizations,43,4
Adv Topics in Business Law,45,4
The New Middle East,80,6
Methods of Applied Statistics,28,4
Popular Visual Culture,82,6
Management of Fine Dining,62,4
Communication Vet Consultation,34,5
Language History,36,6
Cultures &amp; Literatures of South Asia,38,6
Computer Applications,45,4
Electrical Ceramics,49,5
Introduction to Plant Biology,47,6
Advanced Ophthalmology,36,6
Food Processing Unit Operations I,60,5
"Health and Leisure in Recreation, Sport and Tourism",45,5
Small Animal Dermatology,38,4
Intro to the African Diaspora,39,4
Tissue Engineering,46,6
China Under the Qing Dynasty,40,5
Making Sustainable Design,89,6
Adv Topics Swahili Lang&amp;Lit II,58,6
Control Systems,62,4
Advanced Composition,61,4
Engineering at Illinois,41,4
Multicultural Literature K-12,46,6
Ceramic Materials &amp; Properties,56,4
Advanced Wolof II,43,6
Numerical Methods for PDEs,45,4
Communication and Aging,79,6
Research in Special Fields,71,6
Education Law,50,5
Sys &amp; Integrative Physiology,27,4
Professional Develop for Psych,33,5
Global Perspectives for Intercultural Learning,43,6
Dissertation Readings,31,4
Water Quality Control Proc II,39,5
"Internship in Education Policy, Organization and Leadership",34,4
Design Workshop G-I,60,5
Introduction to Prototyping,51,4
Preparation for 21st Century Challenges,44,4
Pediatric Hematology,90,6
Copyright for Information Professions,48,5
Special Problems in Architectural Design,44,6
Professional Internship,66,5
Scenic Technology Topics,44,4
Neuroimmunology,49,4
Proseminar,71,6
"Technology in Recreation, Sport and Tourism",45,5
Adv Interpersonal Comm,56,6
Graduate Level Saxophone,48,4
The Biology of Sex: From Molecules to Societies,69,5
Information Modeling,32,4
Second Lang Reading &amp; Writing,75,6
Acting Studio II: Movement,41,6
Computational Aerodynamics,50,6
Poultry Science,56,4
Introduction to Digital Learning Environments,52,5
Heritage and Values of the United States Air Force II,81,6
Population Genetics,60,5
Foundations of Hotel Management,69,6
Organismal &amp; Evolutionary Biol,64,6
Undergraduate Seminar,35,5
Values in the Physician-Patient Relationship,47,5
Practice II,56,6
Sem in Wrks of Select Composer,37,4
Actuarial Statistics I,58,6
Intermediate Thermodynamics,84,6
Senior Honors in Architecture,66,5
Radiation Interact w/Matter II,42,4
The Structure of Spanish,35,4
Advanced Information Retrieval,70,5
Adv Contemp Modern Tech Core,62,6
Seminar Communication Theory,46,6
Electronic Circuits Laboratory,47,6
Instructional and Training System Design,31,4
Intro to Amer Indian Studies,71,5
Social Aspects Info Tech,39,5
"Advanced Topics in Literature, Media and Materials",43,4
Fourth Year Korean II,49,5
Jazz Guitar Ensemble,85,6
Research in Selected Topics,59,4
US History to 1877,73,6
Introduction to Hinduism,38,4
Chemical Biology Seminar,53,5
Astronomical Techniques,37,4
Washington Experience,51,5
Weed Science and Management,89,6
Poetry Workshop III,86,6
Seminar in Contemporary Art,67,6
Integrative Neuroscience,48,4
Advanced Time Series Analysis,65,5
Screendance,75,5
Time Arts II,43,4
Social Work Practice Theories,47,6
Introduction to Social Work,31,4
Global Health: Policy &amp; Governance,90,6
Historical and Social Barriers,65,5
Prescribed Exercise,62,6
Senior Honors,51,5
Fundamentals of Acting II,47,6
Orientation to Internship,40,5
Accounting Analysis I,86,6
Intercultural Learning in Business,62,5
Fiction Workshop I,50,4
Child Fam with Special Needs,43,5
